,content,id,lat,location,lon,time,user,user_id
774,Todavía no se si me gusta más Yon González o Mario Casas la puta madre que par de potros españoles,970829081888649216,,"Boston, MA",,2018-03-06 01:11:04,solciUck,869704595542614016
777,@TMAN1138pm @NBCSBoston @welliver_titus @animalkeeper10 @AngelaBelcamino @LolaSweet @REMBostonsports @JoanieGentian… https://t.co/fmuO7yAaaL,970829079225229312,,"Boston, MA",,2018-03-06 01:11:04,Ibutterfly34,1104785683
778,"Al Horford really could use a good game tonight.  Get him back on track. 

#celtics",970829078508032000,,"Boston, MA",,2018-03-06 01:11:04,SavageBoston,852548930814570496
779,[East Boston] Snorlax (M) (IV: 51% - CP: 2262) until 08:38:33PM at 260 Lexington St https://t.co/W9nnDSAf3A https://t.co/mbZIygP2wb,970829077425815552,,"Boston, MA",,2018-03-06 01:11:03,BostonPogoMap,838051812544409600
784,RT @AMcKinneyPT: Excited for @wheaton @WheatonTF athletes heading to the @NCAADIII NCAA Division III Men's and Women's Indoor Track and Fie…,970829076083695616,,"Boston, MA",,2018-03-06 01:11:03,Marathon_PT,98775075
785,".@Apple Business Chat, @Google #RCS and @Facebook's @WhatsApp Business App – which #messaging tool should you adopt… https://t.co/WB8uMk1FPC",970829075861442560,,"Boston, MA",,2018-03-06 01:11:03,ONeillNews,1195195668
787,@MrHenryWimbush @dad_gc @GenderIsATool @danwheeleruk @radicalhag @chiller Excluding trans people from your feminism… https://t.co/H1QDX5uMcL,970829075261554688,,"Boston, MA",,2018-03-06 01:11:03,frankcastling,2450234672
788,W il lam seems extra bitter.  People seem to be wanting to come for RuPaul a lot lately.,970829074582077440,,"Boston, MA",,2018-03-06 01:11:03,Squirrely007,45450889
79,@woahalexabliss Is confirmed,970829739119214592,,"Boston, MA",,2018-03-06 01:13:41,Nickjwwe,958176282994528256
791,@ShreyaTrivediMD @S_P_MD @kidney_boy @BrowofJustice @mcsassymd @virenkaul @WomenInMedicine @ClinicalPearl… https://t.co/5DpO1K7A2W,970829072103362560,,"Boston, MA",,2018-03-06 01:11:02,laxswamy,14787019
792,"RT @OmggRhi: I don’t expect or want shit from anybody, but do not EVER do SHIT for me if it’s not genuinely because you want to. Don’t need…",970829071667081216,,"Boston, MA",,2018-03-06 01:11:02,OmggRhi,2216850999
794,RT @ImmortalSoulTHC: Yes! https://t.co/K0Nyi38svB,970829069158887424,,"Boston, MA",,2018-03-06 01:11:01,ImmortalSoulTHC,1666598750
796,"Btw, I’ve noted that NONE of my str8 cis male friends have been secure enough in their own sexual identities to eve… https://t.co/gaHNOI9a7I",970829067393142784,,"Boston, MA",,2018-03-06 01:11:01,davecregg,94225428
797,"So it turns out if I stay up for roughly 36 hours on 5 hours of sleep, drink 4 shots of espresso, and only eat two… https://t.co/JkTdWgf1za",970829067074359296,,"Boston, MA",,2018-03-06 01:11:01,thisisnotabby,133847942
798,Trump disrespects the presidency. So I don’t respect him. - The Washington Post https://t.co/JQJ6EOMxJ1,970829066520743936,,"Boston, MA",,2018-03-06 01:11:01,AlbertDog81,2551350332
799,"RT @OmggRhi: Snapchat: rhiannono456
Insta: rhiannonohandley",970829066030010368,,"Boston, MA",,2018-03-06 01:11:01,OmggRhi,2216850999
8,"Triple H y Stephanie vs Kurt y Ronda 
#WrestleMania #RAW",970829804789432320,,"Boston, MA",,2018-03-06 01:13:57,LNathan511,826531226102161408
80,RT @evankirstel: #HIPAA 58% of #Healthcare PHI Data Breaches Caused by Insiders https://t.co/1kxbEVDCdv @evanderburg #himss18 #CyberSecurit…,970829738947248128,,"Boston, MA",,2018-03-06 01:13:41,IrmaRaste,20163762
803,Ronda's mic skills. #RAW https://t.co/4F2Knay8LJ,970829062695473152,,"Boston, MA",,2018-03-06 01:11:00,AshleyElizabeth,7305322
806,@MendesNewsDaiIy #iHeartAwards #JFCShawnMendes #BestLyrics #HoldinMeBack,970829061357481984,,"Boston, MA",,2018-03-06 01:11:00,RakshandaS8,945393622471634944
807,"The DB Numbers are in...
Jordan Thomas from Oklahoma SHATTERED the DB 3-Cone record since 2006 with a 6.28. #OU",970829061349150720,,"Boston, MA",,2018-03-06 01:11:00,NEPD_Loyko,23781317
808,@lcb257 trueeeee,970829060111781888,,"Boston, MA",,2018-03-06 01:10:59,kmitchellauthor,503753833
81,@IsabellaDruck He stating facts tho,970829737009516544,,"Boston, MA",,2018-03-06 01:13:41,zacharylevesqu5,957281943166603264
814,@ventreeezy_ Hi,970829054495674368,,"Boston, MA",,2018-03-06 01:10:58,mattchu_picchu_,1514884038
815,@glassbottommeg @unity3d @stackfireio That is all supremely unfortunate. Damnation.,970829053325430784,,"Boston, MA",,2018-03-06 01:10:58,The_Rabbit42,17814808
82,@nhlchampion sis where did u get the pants,970829735164039168,,"Boston, MA",,2018-03-06 01:13:40,tjgoalshie,866711869
820,"@evanxavier Catherine won Supporting. So did Renee, but for Cold Mountain.",970829051169509376,,"Boston, MA",,2018-03-06 01:10:57,YesusWalks,71655542
821,RT @jrosejunior1975: Listen to Gwen Stefani - Cool (Photek Remix) by CsTt #np on #SoundCloud @lazzy_otter 😉😜 https://t.co/GfNVqhqGk6,970829051110805504,,"Boston, MA",,2018-03-06 01:10:57,jrosejunior1975,878661462780243968
822,@IDominicaNI @PIX11News @Spooooce  https://t.co/wqW0dfjAbd,970829051022766080,,"Boston, MA",,2018-03-06 01:10:57,youngDEGEN,415073323
823,@secupp @MeghanMcCain I agree. My heart broke for him.,970829050930331648,,"Boston, MA",,2018-03-06 01:10:57,krock6814,1455992497
825,Following #MAACHoops18 with a keen interest in a Fairfield win!,970829049772826624,,"Boston, MA",,2018-03-06 01:10:57,stevendschmitt,17991222
828,RT @OmggRhi: Everything I do reminds me of you,970829047021424640,,"Boston, MA",,2018-03-06 01:10:56,OmggRhi,2216850999
829,The @shesthefirst language training is live now!! #STFCampus members join here: https://t.co/KQfJBkg3TE,970829046673178624,,"Boston, MA",,2018-03-06 01:10:56,kelseabelle1,359652267
830,Wanna make a bet that’s it Stephane,970829044450299904,,"Boston, MA",,2018-03-06 01:10:55,zacharylevesqu5,957281943166603264
832,"Housing Market Expected To ""Spring Forward"" This Year https://t.co/tpG3iOv59j",970829043691122688,,"Boston, MA",,2018-03-06 01:10:55,samantha_jason,235340277
835,I’m gonna get a glass of wine for this 😊🍷 #TheBachelor #SiestaKey,970829042202103808,,"Boston, MA",,2018-03-06 01:10:55,iNa_aCe,64790890
837,INDUBITABLY! https://t.co/9RApMWigLg,970829039601582080,,"Boston, MA",,2018-03-06 01:10:54,CathyCarey311,2490867224
838,When you put it in vs. when you pull it out https://t.co/1xuOuijxRK,970829038838312960,,"Boston, MA",,2018-03-06 01:10:54,ZAKEJINA,86593126
839,"I have been on Twitter for 1 year, 8 months, 7 days (since 28 Jun 2016).
And you? https://t.co/afI6DdVAoB",970829038112538624,,"Boston, MA",,2018-03-06 01:10:54,_jadekirkland,747902026776985600
